,user_id,book_id,review_id,rating,review_text,date_added,date_updated,read_at,started_at,n_votes,n_comments
147051,818a07d4b1a085d65a3851c9f68f148d,28587986,e514962749c07da42f1390899687b4ad,4,"Not sure I'm going to write a full review of this, but it's definitely a good (quick) read. Definitely a young adult memoir (meaning adults might find it simplistic). And though it is ghostwritten, Jazz's voice comes through really clear (she's so young! I do NOT miss being a teenager). She's honest and confident about what her life has been like. 
 This book would be a great way for younger readers to learn about transgender issues, and to develop empathy for people who are gender non-conforming or who identify on the LGTBQIA spectrum (not to mention, of course, it's a great resource for transgender children themselves). I hope Jazz writes another book, though, when she's older. I was obviously not the target audience for this book. It would be really interesting to see what kind of book she would write after she's got a few more decades in her. I have a feeling it would be great.",Tue Feb 28 20:36:50 -0800 2017,Tue Feb 28 20:51:24 -0800 2017,,,4,0
1322675,eac49beafd4485d9c564dc8fab576fb8,15844362,138145607be0564b1695e17590348035,4,"Hooray this book is finally out! And I've finally gotten to read it! I think I may read it again sometime soon simply because it's great fun. 
 People compare this book series to both Matched and the Hunger Games. Really, it is similar to neither -- not that I know much about Matched since I only lasted about 30 pages before tossing the idea of bothering to read it far, far away. I have found it easy to describe The Selection book series as ""if the Bachelor took place in a version Panem with a monarchy."" as a way for people around me to get the general idea of what it is. 
 Not every detail of the world building makes logical sense, some small details fall through cracks and occasionally this series is just plain silly. I can tell that Kiera Cass had fun with this. A good laugh is part of the reason I've liked these books so much. The main character, America Singer, does not live solely to get married. I think these books handle many aspects of teenage relationships well and are definitely worth a read for high school and college age girls. 
 Supposedly Cass is working on a new book series described as ""matched"" meets ""never let me go"". I'm totally looking forward to it!",Thu Nov 14 12:26:54 -0800 2013,Wed Oct 29 08:17:21 -0700 2014,Sun May 11 00:00:00 -0700 2014,Fri May 09 00:00:00 -0700 2014,0,0
1221889,c6f39599f1c5d67d491a86fa6bafb816,17571742,30b720179cdf157b904d06f038dfc8a2,0,"I think I'm losing interest in NA. The writing style wasn't for me and this book didn't interest me at all. 
 DNF: Page 50",Tue Feb 05 05:42:12 -0800 2013,Sat Aug 31 18:37:06 -0700 2013,Sat Aug 31 00:00:00 -0700 2013,,0,0
1008531,900c1edf2ede90f385872938ce6f16c9,22370569,bf1dc58672a2e92a66ae117100356566,4,"This book features Michael, the man who does gay sexual surrogacy for the sex-therapy clinic in this series. I really liked Michael. He's a man with a lot of compassion and enthusiasm for his ability to help people. He's also an in-home nurse for elderly patients, and equally caring in that difficult and vital job. He hasn't had a relationship himself for a while, because a boyfriend who would be okay with his vital surrogacy work seems hard to imagine. When J.C. Guise, his favorite, reclusive author, appears at a local bookstore it's a bit of a case of fan-boy at first sight. 
 James lost the use of his legs to polio as a small boy, and he doesn't trust easily. His career as a writer, which began with a bang with his first novel, is sliding into whimper-status. He's lost his own enthusiasm for his work, and begrudgingly agrees to some publicity. But it's hard to be around attractive young men like Michael when he's sure none of them will ever look at him with real desire. Easier to push everyone away and keep to himself. 
 This is a story of two men who are very compatible, but who each start with a major obstacle to a relationship. I was cheering them on, but at the same time hoping that the author could find a believable way to let Michael continue with his surrogacy work, even as the relationship develops. The ability to make the men he works with feel desirable and sexual, despite their issues, is such a gift with Michael, and people with that kind of genuine compassion are so rare. The surrogacy episodes were actually some of my favorites in this book. 
 I liked the fact that despite his virtues, Michael isn't (quite) perfect and he makes mistakes. I thought James's limitations and fears were well portrayed. This book didn't have the light humor of the first in the series, or the sexual tension of the second. Instead it was a look at how two men overcame their concerns, and learned to forge a relationship they both really needed. (view spoiler)[I liked that James's mother was allowed to appear to tell her side of the story, and that it felt real and plausible. People do a lot of things wrong, thinking they are doing their best for their child, and it eased her out of cardboard villain status. (hide spoiler)] A warm comfort reread.",Fri May 30 06:31:52 -0700 2014,Fri Jul 04 08:28:49 -0700 2014,Fri Jul 04 14:04:02 -0700 2014,Mon Jun 30 00:00:00 -0700 2014,16,0
859048,8dab3f118616eb3f550a927f35533905,14460,23cee20df1f02784af03f3af30ae21e9,5,"As with the first book in the Kitty Norville series, this is my third time reading Kitty Goes to Washington. That said, I am very familiar with this series, and my thoughts on this book are glowingly positive--even more than the first time, and I'll list the reasons below. 
 In this book, Kitty Norville has fled from her home in Colorado and has taken her radio talk show on the road. She lives her life now as a werewolf without a pack, and she's coping, but unhappy. Then she gets a surprising summons to speak at a congressional hearing regarding the Center of Paranatural Biology, or some such thing. She goes for it, of course (free publicity!) but as you might imagine, things go awry when she meets an arrogant vampire underling named Leo, and a bible-thumping senator, Joseph Duke. 
 My original rating for this book had been four stars, but I decided to change this to five because I really, just immensely loved reading this book. I was at the edge of my seat, turning pages like a madman. And the ending! What a great climactic ending! After three times around the track, that says a lot about a story. Carrie Vaughn, like any prolific writer, has her ""good"" stories and her...well...not so good stories. Dare I say crappy stories? Well this second installment in the long running Kitty series is definitely one of the better ones. Certainly better than the first book! 
 I even remember complaining about the Church of the Pure Faith story arc, which I mentioned in my first review. It finds its conclusion in Kitty Goes to Washington, and the first time I read the books, I thought its ending had been...anti-climactic? But I thought the fallout from Elijah Smith's demise was fairly interesting, and it also served as a way of introducing Jeffrey Miles, TV personality and psychic. Jeffrey is a recurring character in the series. It also helped to deepen the character of Roger Stockton, the exploitative weird news journalist. Once I took these things into account, I looked on the Church of the Pure Faith story arc more favorably. It still isn't one of my favorite Kitty adventures, but it certainly isn't the worst. 
 That's really the only complaint that I have for this book, and as you can see, it's not really a complaint. Kitty Goes to Washington has a fairly tight plot. The action was fast paced. The mysteries were intriguing. I have stated that the Kitty Norville series has this side to it that I likened to nerds at D&D night, that side where the story goes down weird ""what-if"" avenues and paints a broad and colorful view of how the supernatural might exist in our world. In this book, I think the best example of that is displayed in Fritz, an old German werewolf with a sad and violent past. This is really important for people to realize about the Kitty Norville series: it tips its hat to old fantasy pulp magazines, wherein strange and speculative stories were published. Why else would Carrie Vaughn use the tongue-in-cheek title convention of ""Kitty and the..."" I sort of chuckle when I see people whine about Kitty's ironic name, and the funny book titles. They're missing the joke, and it's a shame! 
 But that leads to my next point: this series is not for everyone. It revels in its pulp fiction qualities and giggles at the ironic situations it presents. It's self-aware humor. Kitty's narrative voice is witty and humorous, and she isn't shy to point out the stereotypes that populate her world. She can get whiny at times, and she really, really loves to run her mouth. Her idealist beliefs might frustrate some readers too. Another thing that might turn people off is its lack of smut. As paranormal fiction goes, there isn't as much romance as you might expect in the Kitty Norville series. I'd still classify this series as PNR, because I think the target audience is still the same, but I'd do so with the caveat that not all the Kitty books are smut-laced adventures so much as just...adventures with some occasional sexiness. This book is just such a case. Kitty Goes to Washington has a very sexy love interest in Luis, the were-jaguar, but he isn't really a central character in the book (even if he is a recurring character in the series.) 
 The climax to this installment is leaps and bounds better than the last, so that's another good point for it. Once I got to the end, I couldn't stop reading. It feels satisfying, it feels significant. If you were frustrated by the downer ending of Kitty and the Midnight Hour you'll be happy to know that Kitty Goes to Washington has a much more kick ass conclusion. 
 I'm actually surprised by how much I liked this book a third time around. Despite enjoying re-reading the first book, I was afraid this one would be stale, or perhaps just not be as awesome as I remembered it. Thankfully, this was not the case. How reassuring to know I had such great taste as a teenager!",Thu Oct 14 09:45:10 -0700 2010,Mon Feb 09 14:42:07 -0800 2015,Mon Feb 09 14:42:07 -0800 2015,Fri Jan 30 00:00:00 -0800 2015,0,0
399220,4bcb5f1a5bfd89999af1b2b8ce0b1c02,18301124,8c6d29c80fee89ccbf2066a9c44bcf78,3,"There were a few grammar and sentence level issues, but the writing was really good. Everything was expressed in a very real manner. The plot was solid, enderaing, and kept me interested, but there was something missing. I can't quite put my finger on exactly what, but the key ingredient that would have made it a four star book for me just wasn't there. Still, its a good story of loss and love.",Tue Sep 17 13:14:45 -0700 2013,Thu Oct 24 10:12:13 -0700 2013,Wed Oct 23 00:00:00 -0700 2013,,0,0
799969,4abb81bd67c99acffd0eb479e20ea98f,21957948,12c8456f22992693bcb125d0a71cb2d1,5,"Amazing urban fantasy. For once magic is done properly. It is really amazing book with interesting set of characters. It starts a bit slow, after reading first few chapters I thought that it will just another romance book with a bit of paranormal, but I was wrong. It just keeps on getting better. There is romance, but not just romance. It is just great book.",Thu Mar 17 11:56:56 -0700 2016,Sat Mar 19 23:31:32 -0700 2016,Fri Mar 18 00:00:00 -0700 2016,,0,0
993745,bffd4450fa857c9d82601445f11922d2,20886354,552b0d016d5ec1e5d8f86ab227d4d344,3,Think this would have been perfect just having the lone first novel. Still an entertaining read.,Sat Jun 18 16:59:50 -0700 2016,Wed Jun 22 16:07:06 -0700 2016,Wed Jun 22 16:07:06 -0700 2016,Sat Jun 18 00:00:00 -0700 2016,0,0
1188494,73949b0d4115e4e1967b0043a2dcb056,9553503,ede6fc70677fbadb260f73a2fbd3eb46,4,"I liked Angel Fire more than Angel - which is saying something since I really enjoyed reading Angel. Weatherly proves once again that she can tell a wonderful story. I literally couldn't put this book down, the characters are engaging, the plot is tight and the surprises are wonderful and keep you hanging on. 
 Willow's character is much more likeable in this book than in Angel, I feel she has grown and become a more mature person. She takes the bullying of the Angel Killers like an adult and handles her relationship with Alex with maturity rarely seen in young adult books. I don't mean that she doesn't make any mistakes and is above reproach, but she learns quickly from her errors and genuinely tries to keep her life together as best she can. 
 The introduction of Sebastian predictably confuses Willow and causes upheavals in her relationship with Alex. Alex is immature about it all and acts in a manner unbecoming to a gentleman, but with the delicate emotions involved in a complex situation, I guess I shouldn't judge him too harshly. I don't like love triangles that are added into books just for tension, but at least this one is grounded in something real (Willow and Seb are the only known half-angels). Sebastian is a wonderful character and I think he would keep Willow really happy, but at the end of the day the love triangle didn't add anything to the story except angst between Willow and Alex, and deprived their relationship of an opportunity for growth. 
 Angel Fire is a great sequel that lives up to the expectations laid down by Angel. I'm expecting Angel Fever will be an epic conclusion to this unique series, and look forward to reading it. If you haven't already, you should give this series a try: it really is something new and awesome. 
 You can read more of my reviews at 
 Speculating on SpecFic 
 .",Sun Apr 01 00:55:17 -0700 2012,Wed Apr 04 17:12:36 -0700 2012,Mon Apr 02 00:00:00 -0700 2012,Sun Apr 01 00:00:00 -0700 2012,0,0
1305916,83affcb27e08eab3cffe6b161c5c49a5,20910533,57cd4916f908fc7e61478d9a846de9b5,4,"Overall a good read! A little slow in the beginning... well, after the tornado that is... And a little cheesy in parts, not that there's anything wrong with that. (A little cheese is acceptable in my mind.) I enjoyed the romance aspect of it for the most part. I liked how Jules became stronger with the help of West (and vice versa). Although, at the beginning I was leary of how emotionally attached to him she was after the tornado. I figured it wouldn't last. I guess you'll have to read this book to find out if I was right or not! Lots of sweet moments, people in the community coming together, character growth, and of course, the romance!",Thu Jul 17 23:43:51 -0700 2014,Sun Aug 24 20:50:27 -0700 2014,Sun Aug 24 00:00:00 -0700 2014,Sun Jul 27 00:00:00 -0700 2014,1,0
