book_id,title,average_rating,similar_books,image_url,ratings_count,cleaned_description
38568,A Quick Bite (Argeneau #1),3.91,"['225669', '50789', '383143', '293616', '759600', '263178', '46481', '780878']",https://images.gr-assets.com/books/1410129015m/38568.jpg,32140,"that hot guy tied to lissianna argeneau's bed? he's not dessert - he's the main course!lissianna has been spending her centuries pining for mr. right, not just a quick snack, and this sexy guy she finds in her bed looks like he might be a candidate. but there's another, more pressing issue: her tendency to faint at the sight of blood...an especially annoying quirk for a vampire. of course it doesn't hurt that this man has a delicious-looking neck. what kind of cold-blooded vampire woman could resist a bite of that? dr. gregory hewitt recovers from the shock of waking up in a stranger's bedroom pretty quickly - once he sees a gorgeous woman about to treat him to a wild night of passion. but is it possible for the good doctor to find true love with a vampire vixen, or will he be just a good meal? that's a question dr. greg might be willing to sink his teeth into...if he can just get lissianna to bite."
16107050,Tied (Fire Born #1),3.45,"['18074687', '18692520', '25679123', '25744874', '18631167', '19140497', '17257322', '18491811', '18714987', '25609111', '18478892', '15789207', '18684843', '18338591']",https://images.gr-assets.com/books/1361793669m/16107050.jpg,79,"normal people don't believe their nightmares stalk them. they don't fall in love with boys who don't exist, either. seventeen-year-old layla labelle, though, is far from normal. her delusions walk the earth. her hallucinations hunt her, and her skin heats to a burn every time her anger flares. or is that all in her head? layla doesn't know what to believe any more because if none of that's true, max maclarnon must be an illusion, and her heart must still be broken. no matter how much she wants to believe max is real, doing so would mean everything else is, too. how, then, is that possible? the answers lie in an age-old legend the supernatural aren't prepared to reveal, and with a curse that could tear layla and max apart forever--if it doesn't kill them both first. learning the truth will mean fighting an arsenal of demons, and being with max will put layla on a path toward her own destruction. just how far will layla go to protect the one she loves? the answer may never be far enough... away."
19057,I Am the Messenger,4.09,"['1121894', '99375', '233906', '824499', '1006679', '4292125', '331711', '4583614', '82436', '7124053', '6849661', '6989576', '2662169', '50925', '499602', '13480258', '1629601', '357581']",https://images.gr-assets.com/books/1398483261m/19057.jpg,94968,"protect the diamonds survive the clubs dig deep through the spades feel the hearts ed kennedy is an underage cabdriver without much of a future. he's pathetic at playing cards, hopelessly in love with his best friend, audrey, and utterly devoted to his coffee-drinking dog, the doorman. his life is one of peaceful routine and incompetence until he inadvertently stops a bank robbery. that's when the first ace arrives in the mail. that's when ed becomes the messenger. chosen to care, he makes his way through town helping and hurting (when necessary) until only one question remains: who's behind ed's mission?"
17333426,"Egghead: Or, You Can't Survive on Ideas Alone",4.12,"['15824233', '13152144', '13529076', '18369456', '17072298', '17159513', '1054593', '17729031', '17448302', '6535983', '17707772', '13592242', '12193298', '17194983', '7938617', '16087840', '335680', '18945660']",https://images.gr-assets.com/books/1400879372m/17333426.jpg,6461,"a strange and charming collection of hilariously absurd poetry, writing, and illustration from one of today's most popular young comedians... bo burnham was a precocious teenager living in his parents' attic when he started posting material on youtube. 100 million people viewed those videos, turning bo into an online sensation with a huge and dedicated following. bo taped his first of two comedy central specials four days after his 18th birthday, making him the youngest to do so in the channel's history. now bo is a rising star in the comedy world, revered for his utterly original and intelligent voice. and, he can siiiiiiiiing! in egghead, bo brings his brand of brainy, emotional comedy to the page in the form of off-kilter poems, thoughts, and more. teaming up with his longtime friend, artist, and illustrator chance bone, bo takes on everything from death to farts in this weird book that will make you think, laugh and think, ""why did i just laugh?"""
19398490,All the Light We Cannot See,4.31,"['11807189', '11529868', '17332207', '13593526', '17329041', '11925514', '7274337', '25229229', '23602562', '22889835', '17456328', '16248119', '3916763', '18079776', '18850688', '17465515', '18090125', '16130674']",https://images.gr-assets.com/books/1440903901m/19398490.jpg,53342,"winner of the pulitzer prize from the highly acclaimed, multiple award-winning anthony doerr, the beautiful, stunningly ambitious instant new york timesbestseller about a blind french girl and a german boy whose paths collide in occupied france as both try to survive the devastation of world war ii. marie-laure lives with her father in paris near the museum of natural history, where he works as the master of its thousands of locks. when she is six, marie-laure goes blind and her father builds a perfect miniature of their neighborhood so she can memorize it by touch and navigate her way home. when she is twelve, the nazis occupy paris and father and daughter flee to the walled citadel of saint-malo, where marie-laure's reclusive great-uncle lives in a tall house by the sea. with them they carry what might be the museum's most valuable and dangerous jewel. in a mining town in germany, the orphan werner grows up with his younger sister, enchanted by a crude radio they find. werner becomes an expert at building and fixing these crucial new instruments, a talent that wins him a place at a brutal academy for hitler youth, then a special assignment to track the resistance. more and more aware of the human cost of his intelligence, werner travels through the heart of the war and, finally, into saint-malo, where his story and marie-laure's converge. doerr's ""stunning sense of physical detail and gorgeous metaphors"" (san francisco chronicle) are dazzling. deftly interweaving the lives of marie-laure and werner, he illuminates the ways, against all odds, people try to be good to one another. ten years in the writing, a national book award finalist, all the light we cannot see is a magnificent, deeply moving novel from a writer ""whose sentences never fail to thrill"" (los angeles times)."
17902302,"Connected (Connections, #1)",4.11,"['17259930', '17611415', '16178680', '17185511', '19558324', '17449965', '16087670', '17166702', '16053316', '18073066', '17156806', '17373178', '20352375', '17287766', '17292996', '30031115', '16488227', '16081320']",https://images.gr-assets.com/books/1368031865m/17902302.jpg,7937,"what if a 'once in a lifetime' could happen twice? suffering from a past full of tragedy, dahlia london's soul has been left completely shattered. happily ever after is a far cry from reality in her world. but, when she is reconnected with her past, the bonds that form are irrefutable. when river wilde, lead singer of the wilde ones, comes back into dahlia's life, the intensity that fires their relationship combined with underlying feelings that have never died lead her to believe she has met her soulmate. struggling with confusion as old connections fade and new ones begin, dahlia's grief begins to lift--but guilt remains. river wants to be the one to mend all that is torn within her. but with a past that is never really gone, can their future survive?"
18602871,Dirty London,3.83,"['18342376', '13587109', '18854738', '20605405', '17675422', '13629228', '35432526', '12500938', '805991', '3649949', '15852498', '22155572', '20759532', '16056005', '18594344', '20886492', '12361754', '387660']",https://images.gr-assets.com/books/1386018850m/18602871.jpg,474,"all london noble wanted out of her senior year of high school was anonymity. the complete opposite of jasmine, her emotionally unstable baby sister, london has worked hard to stay out of the spotlight. then she discovers that wade, one of the most popular guys in school, is gay like her and their new-found closeness based around their shared secret has half the student body convinced they're hooking up...and a lot of girls aren't happy about it. now she's been dubbed ""dirty london."" rumors are flying about her inability to keep her clothes on, and london is pretty sure she's developing a crush on the one girl who sees through it all. if she could admit why stealing boyfriends is the last thing on her mind--not to mention find out what's going on with jasmine and her rapidly disappearing psych medications--her life would be a much brighter place. but if her and wade's truth gets out, and if she doesn't find a way to help her sister, london faces losing a lot more than her obscurity."
30164369,"Blackmailing the Virgin (Alexa Riley Promises, #2)",3.79,"['27841495', '29521909', '13264519', '8460213', '18077249', '11432300', '7470335', '10176353', '30130317', '18528825', '9339639', '29544812', '26214486', '22448986', '22283989', '17882253', '7889246', '18298252']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3255,"welcome back to alexa riley promises. this series is dedicated to old romances. it's tropes galore, with all of our usual over-the-top alphas and sweet cheesy goodness. these short books will focus on traditional and classic tropes while sticking to the alexa riley code: no cheating and always with an hea. that's our promise to you. blackmailing the virgin when calder cox sees felicity for the first time, he has to have her. there's nothing that will hold him back...until he finds out she's his lawyer's daughter. felicity chandler is graduating college soon but has no idea what she wants to do. while playing her violin one night, she sees calder and feels instantly drawn to him. but when he tries to keep his distance, she doesn't know what to do with all of her feelings. calder can't be held off much longer, and when his control snaps, there are consequences. felicity might be trying to run, but he'll make sure she stays...even if he has to blackmail her to do it. warning: this is an alexa riley promise, so it's over the top, contains no cheating, and will always come with an hea. it's ridiculous baby-making drama that's packed full of heat."
28755323,Unnatural Deeds,3.71,"['22358603', '28321033', '26044720', '29057066', '27866667', '25372971', '25689011', '26095500', '24854259', '25522033', '25569124', '25663880', '28954189', '27414452', '23341252', '26807978', '25332026', '26025000']",https://images.gr-assets.com/books/1485697573m/28755323.jpg,446,"some secrets are worth killing to protect. victoria zell doesn't fit in, not that she cares what anyone thinks. she and her homeschooled boyfriend, andrew, are inseparable. all they need is each other. that is, until zachary zimmerman joins her homeroom. within an hour of meeting, he convinces good-girl vic to cut class. and she can't get enough of that rush. despite vic's loyalty to andrew, she finds her life slowly entwining with z's. soon she's lying to everyone she knows and breaking all the rules to be with z. she can't get enough of him--or unraveling the stories of the family he's determined to keep hidden. except z's not the only one with a past. straight-laced vic is hiding her own secrets...secrets that are about to destroy everything in her path."
15797848,There's Someone Inside Your House,3.44,"['35504431', '24711433', '18482225', '30256248', '31371729', '23566896', '25446297', '25446343', '22724476', '23308087', '31952703', '25566671', '25314447', '27414411', '28421168', '29385546', '28524058', '33509076']",https://images.gr-assets.com/books/1493650191m/15797848.jpg,4148,"love hurts... makani young thought she'd left her dark past behind her in hawaii, settling in with her grandmother in landlocked nebraska. she's found new friends and has even started to fall for mysterious outsider ollie larsson. but her past isn't far behind. then, one by one, the students of osborne hugh begin to die in a series of gruesome murders, each with increasingly grotesque flair. as the terror grows closer and her feelings for ollie intensify, makani is forced to confront her own dark secrets."
